english	chinese
Don't go out after dark.	天黑以後不要出門。
Are you really willing to help?	你是真的很樂意幫忙嗎?
The answer misses the point.	回答偏了。
Tom hasn't forgiven anybody.	湯姆沒原諒過任何人。
Water freezes at 32 degrees Fahrenheit.	水在華氏32度結成冰。
I don't care if it's a bit cold.	稍微冷点儿不要紧。
Could you come to tomorrow's meeting?	你能來參加明天的會議嗎？
An angle of 90 degrees is called a right angle.	90度的角叫直角。
The teacher gathered his students around him.	老師把他的學生們聚集在他周圍。
English is studied in China, too.	在中國的人也研讀英語了。
I can comfort her.	我可以安慰她。
I'm all for it.	我百分之百赞成。
If you get sleepy, let me know.	困了的话就说哦。
Could you check the tire pressure?	你能檢查一下這個輪胎的氣壓嗎？
I was brought up by my grandmother.	我被我的祖母撫養長大。
I don't like learning irregular verbs.	我不喜欢学习不规则动词。
I was scared to be alone in the dark.	我害怕一个人处在黑暗之中。
I was writing a letter when he came.	當他進來的時候, 我正在寫信。
The enemy dropped many bombs on the factory.	敵人在工廠投下了很多炸彈。
His lie got him into trouble when his boss discovered the truth.	当他老板发现真相的时候，谎言给他带来了麻烦。
You should have come earlier.	你應該早點來的。
How late did you stay at the party last night?	昨晚的派對你待到多晚？
All their efforts were in vain.	他們的努力都白費了。
Is that a picture of me?	那是我的照片嗎？
Tom is sure to succeed.	汤姆一定能成功。
Pass me the salt, will you?	請把鹽遞給我，好嗎？
This car sells well.	这辆车卖得好。
She is a good dancer.	她是一個很好的舞者。
I can't bear this noise anymore.	我无法再忍受那噪音了。
It's 3:30.	3点半了。
Don't you want to know why?	你不想知道为什么吗？
Hide in the closet.	你藏進櫃子裡去。
Manholes are round because that way they won't accidentally fall through the hole.	人孔是圓的，因為這樣人孔蓋就不會意外地掉進洞裡。
I had difficulty in solving this problem.	我在解決這個問題上有困難。
He said that if he knew her address, he would write to her.	他说如果他知道她的地址，他会写信给她。
Who doesn't like Christmas?	誰不喜歡耶誕節呢？
They drive on the left in England.	在英國開車要靠左行駛。
Dinosaurs became extinct a very long time ago.	恐龍在很久以前滅絶了。
The baby was in a deep sleep in his mother's arms.	孩子在母亲的怀中熟睡。
It's rude to stare at someone.	盯著別人看是不禮貌的。
They have elected a new government.	他們選出了新政府。
How's the weather there?	那里的气候怎么样?
He said, "I want to be a scientist."	他說：“我想成為科學家。”
Where are we meeting?	我们在哪里见面？
We often hear it said that the Japanese are good workers.	我们经常听说日本人工作勤奋。
Do not read while walking.	不要边走边看书。
I don't have a cat.	我没有猫。
He resembles his grandfather.	他很像他外公。
We know.	我们知道。
Did you tell on Tom?	你们打汤姆的小报告了吗？
Tom has two children.	Tom有兩個孩子。
Tom was dressed like a pirate.	Tom穿得像个海盗。
Can I ask a question?	我能问个问题吗？
They settled in Canada.	他们在加拿大安家落户。
Tom spent most of the morning straightening up his office.	湯姆花了大半箇早晨整理辦公室。
You should listen to your mother.	你應該聽媽媽的話。
Put on some clothes.	穿上點衣服。
Bear his advice in mind.	牢記他的建議。
I have to lose weight.	我必须要减肥了。
Tom seems to forget everything.	湯姆好像什麼都会忘。
Can't you stay a little longer?	你不能待久一點嗎？
My mother hates writing letters.	我媽媽討厭寫信。
Let's see what you make of this.	讓我們看看你對此有何看法。
You can tell us.	你能告诉我们。
Christmas is soon, right?	聖誕節很快就到了，對嗎？
Nothing special happened.	没发生什么特别的事。
A swarm of hornets attacked the children.	一窩黃蜂襲擊了孩子們。
He treats me like his slave.	他對待我就像他的奴隸。
Not everybody can be an artist.	不是所有人都能当艺术家的。
Please bring your own food.	请自带食物。
He is numbered among the greatest scientists in the world.	他是世界上最伟大的科学家之一。
He can't buy a car.	他不能买车。
What's your husband's name?	你丈夫叫什么？
Can I call you Tom?	我可以叫您汤姆吗？
You're the boss.	服了你了。
You should've been more careful.	你應該要更小心的。
Don't be cruel to animals.	不要虐待动物。
I advise you to give up drinking.	我勸你戒酒。
That was really unfair.	那真不公平。
Do you know it?	你了解它吗
A winter without snow isn't winter.	沒有雪的冬天不是冬天。
You shouldn't try to do everything by yourself.	你不必什麼都非得自己來。
Did you get up early?	你起床早嗎？
Tom wants to talk.	汤姆想说话。
That river flows into the Pacific.	这条河汇入太平洋。
I think you're sitting in my seat.	我想你坐到我的座位了。
Three months later, Tom was dead.	三個月后，湯姆死了。
There were fifty passengers on the plane.	飞机上有50名乘客。
All of us like you very much.	我们都非常喜欢你。
He has three times as many books as I have.	他拥有的书是我拥有的三倍。
I can't fall asleep.	我睡不着觉。
Tom has a plan.	湯姆有個計畫。
China has about 25 times the area of Japan.	中国的版图大概是日本的二十五倍。
Fire is always dangerous.	火是非常危險的。
I grew up in a small town.	我在一个小镇长大。
It's human nature.	它是人的天性。
Tom is no dummy.	汤姆不是傻瓜。
Do you want to eat garbanzo beans?	你想吃鹰嘴豆吗？
The flood water reached the level of the windows.	洪水涌到了窗户的高度。
What are you waiting for?	还在等什么呢！
I'll stake my reputation on it.	我赌上我的名声。
The doctor came immediately.	医生立刻就到了。
I do not know whether to accept or to refuse.	我不知道是否該同意或拒絕。
I'm as hungry as a horse.	我餓得像匹馬。
Where did you go last Sunday?	上周日你去哪儿了？
The man you saw yesterday was my uncle.	你昨天看到的那个男人是我叔叔。
I'll wait here until she comes.	我會在這兒等著直到她來。
That's why he got angry.	那就是他生气的理由。
How was the meeting yesterday?	昨天的会议怎么样？
Maybe I'm just a fool.	可能我就是箇傻子。
I am not writing a letter.	我不是正在寫信。
The moon landing was a monumental achievement.	登月是一項里程碑式的成就。
She made him a new coat.	她為他做了件新大衣。
Can you tell me where the flea market is?	你能告訴我跳蚤市場在哪裡嗎？
I have a friend whose father is a magician.	我有一個父親是魔術師的朋友。
I'm looking for a job.	我在找工作。
I want to know where she went.	我想知道她去哪儿了。
She likes to go to the sauna.	她喜欢去桑拿。
I didn't know what to do then.	那時我不知道該怎麼辦。
I often played tennis when I was young.	我年轻时经常打网球。
Tom says they need more time.	汤姆说他们需要更多时间。
Don't eat too much.	别吃太多。
She graduated in 1996.	她在1996年畢業。
He's two years older than me.	他比我大两岁。
How often do the buses depart?	公共汽车多久发车一次？
Can I have something to eat?	我能些吃的東西嗎？
I wonder if anything happened to him.	我怀疑有什么事在他身上发生了。
I am not married.	我没有结婚。
I look after my grandfather.	我照顧我的爺爺。
How do you account for that?	你怎样作出的解释？
Tom doesn't usually wear a hat.	湯姆通常不戴帽子。
All participants must be registered.	所有的參加者都得註冊。
More and more people are moving to urban areas.	越來越多的人遷往市區。
I have no idea who she is.	我不知道她是谁。
I have a stomachache, doctor.	我胃痛，醫生。
There are at least thirty students in our class.	我们班至少有三十个学生。
Stand aside.	一边站着。
I know where she is.	我知道她在哪里。
Did you pay for the book?	你付錢買這本書了嗎?
Do you have any money with you?	你身上有錢嗎？
Tom doesn't want to go alone.	汤姆不想一个人走。
It got colder day by day.	天氣一天比一天冷。
I can't do anything.	我不会做任何事。
She went into her room to change her dress.	她进了她的房间换裙子。
Tom hopes you're able to attend his party.	湯姆希望你能參加他的派對。
It's a fake.	这是一个伪造品。
Were you out last night?	昨晚你出去了嗎？
Got it?	知道了没有？
Now who's going to help you?	現在誰要幫你？
Do you need this book?	你需要这本书吗？
I'll call for you at three.	我三点钟来接你。
Is she a computer programmer?	她是个女程序员吗？
I got along with everybody.	我和大家相處。
Why did you come here?	你為什麼來這裡？
